mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
14.053645133972168,0.009917974472045898,0.17764389514923096,0.0046509504318237305,0.01,50,0.5,"{'learning_rate': 0.01, 'n_estimators': 50, 'subsample': 0.5}",0.615297876339034,0.6202276754550824,0.6177627758970582,0.002464899558024203,17
13.818065643310547,0.06779241561889648,0.17722582817077637,0.006541013717651367,0.01,50,0.9,"{'learning_rate': 0.01, 'n_estimators': 50, 'subsample': 0.9}",0.6124251617579939,0.6173011867046125,0.6148631742313032,0.0024380124733093256,18
24.860042452812195,0.015258431434631348,0.29336798191070557,0.006260037422180176,0.01,100,0.5,"{'learning_rate': 0.01, 'n_estimators': 100, 'subsample': 0.5}",0.6184122211184794,0.6221070719003383,0.6202596465094088,0.0018474253909294691,15
24.250787377357483,0.06693065166473389,0.2879910469055176,0.00710606575012207,0.01,100,0.9,"{'learning_rate': 0.01, 'n_estimators': 100, 'subsample': 0.9}",0.6171235267269847,0.620523009182194,0.6188232679545893,0.0016997412276046897,16
35.89714443683624,0.04544341564178467,0.3917635679244995,0.0007735490798950195,0.01,150,0.5,"{'learning_rate': 0.01, 'n_estimators': 150, 'subsample': 0.5}",0.6197546111096196,0.6241207109488267,0.6219376610292231,0.0021830499196035524,13
34.96304929256439,0.10145652294158936,0.411998987197876,0.003551959991455078,0.01,150,0.9,"{'learning_rate': 0.01, 'n_estimators': 150, 'subsample': 0.9}",0.6196203721105056,0.6238522257423615,0.6217362989264336,0.002115926815927982,14
13.870934963226318,0.012929201126098633,0.18728947639465332,0.005724668502807617,0.05,50,0.5,"{'learning_rate': 0.05, 'n_estimators': 50, 'subsample': 0.5}",0.6224393910919,0.6240670139075337,0.6232532024997168,0.0008138114078168335,10
13.41960346698761,0.018103480339050293,0.1778264045715332,0.005728483200073242,0.05,50,0.9,"{'learning_rate': 0.05, 'n_estimators': 50, 'subsample': 0.9}",0.6219561306950896,0.623610589056543,0.6227833598758163,0.0008272291807266963,12
21.742196440696716,0.016039490699768066,0.2871971130371094,0.003265857696533203,0.05,100,0.5,"{'learning_rate': 0.05, 'n_estimators': 100, 'subsample': 0.5}",0.6234327596853438,0.6254631369811523,0.6244479483332481,0.0010151886479042305,7
20.469311952590942,0.07942914962768555,0.2896881103515625,0.00622105598449707,0.05,100,0.9,"{'learning_rate': 0.05, 'n_estimators': 100, 'subsample': 0.9}",0.6222783042929632,0.6243086505933523,0.6232934774431578,0.0010151731501945593,9
29.51412796974182,0.01937103271484375,0.2678724527359009,0.003229498863220215,0.05,150,0.5,"{'learning_rate': 0.05, 'n_estimators': 150, 'subsample': 0.5}",0.6236475420839263,0.6256242281050314,0.6246358850944789,0.0009883430105525615,5
28.109390377998352,0.05461442470550537,0.2905391454696655,0.0018440485000610352,0.05,150,0.9,"{'learning_rate': 0.05, 'n_estimators': 150, 'subsample': 0.9}",0.6239428678819771,0.6263491381624873,0.6251460030222322,0.0012031351402551071,1
11.049208521842957,0.025997519493103027,0.19057190418243408,0.002152085304260254,0.1,50,0.5,"{'learning_rate': 0.1, 'n_estimators': 50, 'subsample': 0.5}",0.6230300426880018,0.62586586479085,0.6244479537394259,0.0014179110514241366,6
10.371637344360352,0.016261577606201172,0.1787586212158203,0.0009434223175048828,0.1,50,0.9,"{'learning_rate': 0.1, 'n_estimators': 50, 'subsample': 0.9}",0.6222246086933176,0.6242281050314128,0.6232263568623653,0.0010017481690475782,11
13.98608136177063,0.022090435028076172,0.14234507083892822,0.004459977149963379,0.1,100,0.5,"{'learning_rate': 0.1, 'n_estimators': 100, 'subsample': 0.5}",0.6238891722823314,0.625973258873436,0.6249312155778837,0.0010420432955522974,3
12.81373643875122,0.06679058074951172,0.16382646560668945,0.00029158592224121094,0.1,100,0.9,"{'learning_rate': 0.1, 'n_estimators': 100, 'subsample': 0.9}",0.624103954680914,0.6257316221876175,0.6249177884342657,0.0008138337533517559,4
18.35319197177887,0.07256495952606201,0.18603360652923584,3.7550926208496094e-05,0.1,150,0.5,"{'learning_rate': 0.1, 'n_estimators': 150, 'subsample': 0.5}",0.6233522162858753,0.6255168340224454,0.6244345251541603,0.0010823088682850313,8
17.189566016197205,0.03932392597198486,0.18519532680511475,0.0006715059280395508,0.1,150,0.9,"{'learning_rate': 0.1, 'n_estimators': 150, 'subsample': 0.9}",0.6243455848793191,0.6255705310637384,0.6249580579715288,0.0006124730922096311,2
